Geography,2014,2015,2016
"Akron, OH",57.7,60.3,61.7
"Albany-Schenectady-Troy, NY",59.2,60.8,59.9
"Albuquerque, NM",60.3,57.0,59.4
"Allentown-Bethlehem-Easton, PA-NJ",61.2,60.4,61.2
"Anchorage, AK",65.7,,64.4
"Asheville, NC",66.2,67.9,
"Atlanta-Sandy Springs-Roswell, GA",59.7,60.0,60.6
"Augusta-Richmond County, GA-SC",61.4,57.8,63.2
"Austin-Round Rock, TX",64.7,64.9,64.4
"Bakersfield, CA",57.2,57.2,57.3
"Baltimore-Columbia-Towson, MD",57.3,58.2,57.8
"Baton Rouge, LA",60.7,56.6,58.8
"Birmingham-Hoover, AL",59.9,63.0,61.6
"Boise City, ID",64.0,63.9,66.4
"Boston-Cambridge-Newton, MA-NH",62.4,62.4,63.4
"Bridgeport-Stamford-Norwalk, CT",60.5,62.1,60.9
"Buffalo-Cheektowaga-Niagara Falls, NY",57.9,60.0,60.9
"Cape Coral-Fort Myers, FL",62.1,63.6,63.8
"Charleston-North Charleston, SC",62.9,60.9,65.3
"Charlotte-Concord-Gastonia, NC-SC",61.6,63.5,63.6
"Chattanooga, TN-GA",65.1,61.8,64.5
"Chicago-Naperville-Elgin, IL-IN-WI",58.7,59.3,59.5
"Cincinnati, OH-KY-IN",58.8,60.3,61.2
"Cleveland-Elyria, OH",57.9,57.5,61.0
"Colorado Springs, CO",62.4,64.2,63.3
"Columbia, SC",57.5,59.7,60.7
"Columbus, OH",59.5,61.1,60.9
"Dallas-Fort Worth-Arlington, TX",62.5,62.5,63.2
"Dayton, OH",58.3,58.6,61.9
"Deltona-Daytona Beach-Ormond Beach, FL",58.1,62.2,63.3
"Denver-Aurora-Lakewood, CO",62.7,62.9,63.3
"Des Moines-West Des Moines, IA",64.5,65.1,66.4
"Detroit-Warren-Dearborn, MI",57.2,58.5,60.0
"Durham-Chapel Hill, NC",,63.6,64.1
"El Paso, TX",62.7,62.5,64.4
"Fayetteville, Springdale-Rogers, AR-MO",63.8,66.9,66.7
"Fresno, CA",57.6,58.8,59.0
"Grand Rapids-Wyoming, MI",63.0,65.9,65.1
"Greenville-Anderson-Mauldin, SC",64.5,65.2,65.4
"Harrisburg-Carlisle, PA",61.3,59.7,62.1
"Hartford-West Hartford-East Hartford, CT",60.1,59.2,59.6
"Houston-The Woodlands-Sugar Land, TX",62.1,61.3,62.2
"Huntsville, AL",,,63.8
"Indianapolis-Carmel-Anderson, IN",58.8,60.4,60.6
"Jackson, MS",57.3,58.1,57.8
"Jacksonville, FL",59.5,60.4,62.1
"Kansas City, MO-KS",60.5,61.7,62.4
"Knoxville, TN",61.5,63.6,63.1
"Lakeland-Winter Haven, FL",59.4,61.7,59.7
"Lancaster, PA",63.6,,64.1
"Las Vegas-Henderson-Paradise, NV",58.1,60.2,58.6
"Little Rock-N Little Rock-Conway, AR",61.2,59.1,60.2
"Los Angeles-Long Beach-Anaheim, CA",61.3,60.8,61.0
"Louisville-Jefferson County, KY-IN",61.4,60.4,63.3
"Madison, WI",63.1,63.9,66.6
"Memphis, TN-MS-AR",57.6,56.0,57.6
"Miami-Fort Lauderdale-West Palm Beach, FL",61.0,62.0,62.3
"Milwaukee-Waukesha-West Allis, WI",60.3,59.2,60.6
"Minneapolis-St. Paul-Bloomington, MN-WI",63.0,64.4,64.6
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",,,64.4
"Nashville-Davidson-Murfreesboro-Franklin, TN",62.0,64.6,64.4
"New Haven-Milford, CT",57.6,59.6,58.6
"New Orleans-Metairie, LA",60.7,58.8,59.4
"New York-Newark-Jersey City, NY-NJ-PA",59.4,59.0,60.3
"North Port-Sarasota-Bradenton, FL",63.7,65.9,66.4
"Ogden-Clearfield, UT",62.8,63.2,66.2
"Oklahoma City, OK",61.7,62.1,60.3
"Omaha-Council Bluffs, NE-IA",64.0,61.7,64.2
"Orlando-Kissimmee-Sanford, FL",60.8,60.5,62.7
"Oxnard-Thousand Oaks-Ventura, CA",64.3,65.9,64.5
"Palm Bay-Melbourne-Titusville, FL",61.5,62.2,61.1
"Pensacola-Ferry Pass-Brent, FL",60.5,60.6,62.6
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",58.3,59.1,59.2
"Phoenix-Mesa-Scottsdale, AZ",60.8,62.5,62.8
"Pittsburgh, PA",60.2,61.5,62.5
"Portland-South Portland, ME",63.7,64.8,65.0
"Portland-Vancouver-Hillsboro, OR-WA",61.4,62.1,62.5
"Providence-Warwick, RI-MA",59.9,58.6,59.4
"Provo-Orem, UT",65.7,65.6,65.6
"Raleigh, NC",64.7,63.6,65.1
"Reno, NV",62.6,,
"Richmond, VA",62.4,61.3,61.8
"Riverside-San Bernardino-Ontario, CA",59.0,59.9,59.5
"Rochester, NY",60.0,60.9,61.4
"Sacramento--Roseville--Arden-Arcade, CA",60.5,59.5,61.7
"Salem, OR",61.9,,
"Salt Lake City, UT",62.1,62.5,60.2
"San Antonio-New Braunfels, TX",63.8,64.9,64.9
"San Diego-Carlsbad, CA",63.0,63.1,63.9
"San Francisco-Oakland-Hayward, CA",61.8,61.2,62.6
"San Jose-Sunnyvale-Santa Clara, CA",61.9,62.5,60.7
"Santa Rosa, CA",63.4,64.4,
"Scranton--Wilkes-Barre--Hazleton, PA",56.3,57.1,57.7
"Seattle-Tacoma-Bellevue, WA",60.5,60.4,61.4
"Spokane-Spokane Valley, WA",60.7,63.1,62.0
"Springfield, MA",59.6,59.0,60.7
"St. Louis, MO-IL",59.2,58.5,60.6
"Stockton-Lodi, CA",57.3,,
"Syracuse, NY",58.7,56.7,59.9
"Tampa-St. Petersburg-Clearwater, FL",60.0,60.3,61.9
"Toledo, OH",54.4,57.3,57.6
"Tucson, AZ",60.5,60.4,60.8
"Tulsa, OK",62.8,59.7,62.0
"Urban Honolulu, HI",64.5,66.2,68.0
"Virginia Beach-Norfolk-Newport News, VA-NC",57.9,57.7,58.5
"Washington-Arlington-Alexandria, DC-VA-MD-WV",61.6,60.9,62.7
"Wichita, KS",61.2,61.2,62.7
"Winston-Salem, NC",63.2,61.8,63.2
"Worcester, MA-CT",58.5,57.8,59.7
"Youngstown-Warren-Boardman, OH-PA",55.9,,61.9
